hex_color,r_component,g_component,b_component,munsell_notation,expected_iscc_nbs_name,actual_iscc_nbs_descriptor,match_status,notes
#ffb5ba,255,181,186,5.9R 8.1/5.5,vivid pink,light pink,MISMATCH,Intensity difference: vivid vs light
#ea9399,234,147,153,4.5R 7.0/7.7,strong pink,strong yellowish pink,MISMATCH,Word count difference: 2 vs 3 words
#e4717a,228,113,122,3.9R 6.0/10.1,deep pink,deep pink,EXACT_MATCH,Perfect classification match
#f9ccca,249,204,202,9.4R 8.6/3.5,light pink,light yellowish pink,MISMATCH,Word count difference: 2 vs 3 words
#dea5a4,222,165,164,7.6R 7.3/4.7,moderate pink,moderate yellowish pink,MISMATCH,Word count difference: 2 vs 3 words
#c08081,192,128,129,6.6R 5.9/5.4,dark pink,dark yellowish pink,MISMATCH,Word count difference: 2 vs 3 words
#ead8d7,234,216,215,8.1YR 8.8/1.2,pale pink,NO_CLASSIFICATION,NO_CLASSIFICATION,Point not found in any ISCC-NBS polygon
#c4aead,196,174,173,5.8YR 7.3/1.5,grayish pink,brownish pink,MISMATCH,Modifier type difference: grayish vs brownish
#eae3e1,234,227,225,8Y 9.2/1.1,pinkish white,yellowish white,MISMATCH,Pink vs Yellowish family boundary issue
#c1b6b3,193,182,179,10YR 7.4/1.1,pinkish gray,yellowish gray,MISMATCH,Pink vs Yellowish family boundary issue
#be0032,190,0,50,5.2R 3.9/14.7,vivid red,vivid red,EXACT_MATCH,Perfect classification match
#bc3f4a,188,63,74,4.8R 4.5/11.6,strong red,strong red,EXACT_MATCH,Perfect classification match
#841b2d,132,27,45,5.1R 2.9/10.0,deep red,deep red,EXACT_MATCH,Perfect classification match
#5c0923,92,9,35,7.3RP 1.6/6.5,very deep red,very dark purplish red,MISMATCH,Word count difference: 3 vs 4 words
#ab4e52,171,78,82,6.1R 4.5/8.3,moderate red,moderate red,EXACT_MATCH,Perfect classification match
#722f37,114,47,55,9.2RP 2.9/5.9,dark red,dark purplish red,MISMATCH,Word count difference: 2 vs 3 words
#3f1728,63,23,40,1.7RP 1.3/2.9,very dark red,very dark reddish purple,MISMATCH,Word count difference: 3 vs 4 words
#ad8884,173,136,132,8.7R 5.9/3.1,light grayish red,light reddish brown,MISMATCH,Word differences: pos1: grayish vs reddish, pos2: red vs brown
#905d5d,144,93,93,7.2R 4.4/4.2,grayish red,grayish red,EXACT_MATCH,Perfect classification match
#543d3f,84,61,63,9.1RP 2.8/1.6,dark grayish red,dark grayish purple,MISMATCH,Word differences: pos2: red vs purple
#2e1d21,46,29,33,5.5RP 1.2/1.4,blackish red,blackish purple,MISMATCH,Word differences: pos1: red vs purple
#8f817f,143,129,127,6.3YR 5.4/1.1,reddish gray,light brownish gray,MISMATCH,Word count difference: 2 vs 3 words
#5c504f,92,80,79,4.3YR 3.7/1.1,dark reddish gray,brownish gray,MISMATCH,Word count difference: 3 vs 2 words
#282022,40,32,34,4.3RP 1.2/0.5,reddish black,NO_CLASSIFICATION,NO_CLASSIFICATION,Point not found in any ISCC-NBS polygon
#ffb7a5,255,183,165,1.1YR 8.1/5.7,vivid yellowish pink,light yellowish pink,MISMATCH,Pink vs Yellowish family boundary issue
#f99379,249,147,121,10R 7.1/9.0,strong yellowish pink,strong yellowish pink,EXACT_MATCH,Perfect classification match
#e66721,230,103,33,1.9YR 5.7/13.4,deep yellowish pink,vivid reddish orange,MISMATCH,Word differences: pos0: deep vs vivid, pos1: yellowish vs reddish, pos2: pink vs orange
#f4c2c2,244,194,194,8.4R 8.4/3.8,light yellowish pink,light yellowish pink,EXACT_MATCH,Perfect classification match
#d9a6a9,217,166,169,7.2R 7.3/4.1,moderate yellowish pink,moderate yellowish pink,EXACT_MATCH,Perfect classification match
